"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "GLSL", "HTML", "comment", "blank", "total"
"c:\Users\idemo\Documents\GitHub\Portfolio\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\idemo\Documents\GitHub\Portfolio\bundler\webpack.common.js", "JavaScript", 0, 0, 61, 0, 0, 0, 6, 7, 74
"c:\Users\idemo\Documents\GitHub\Portfolio\bundler\webpack.dev.js", "JavaScript", 0, 0, 26, 0, 0, 0, 28, 2, 56
"c:\Users\idemo\Documents\GitHub\Portfolio\bundler\webpack.prod.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\idemo\Documents\GitHub\Portfolio\package-lock.json", "JSON", 14147, 0, 0, 0, 0, 0, 0, 1, 14148
"c:\Users\idemo\Documents\GitHub\Portfolio\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\Camera.js", "JavaScript", 0, 0, 35, 0, 0, 0, 10, 16, 61
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\Experience.js", "JavaScript", 0, 0, 47, 0, 0, 0, 45, 29, 121
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\Renderer.js", "JavaScript", 0, 0, 49, 0, 0, 0, 3, 14, 66
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\TravellingManager.js", "JavaScript", 0, 0, 600, 0, 0, 0, 43, 56, 699
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\Utils\Debug.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\Utils\EventEmitter.js", "JavaScript", 0, 0, 117, 0, 0, 0, 27, 35, 179
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\Utils\Sizes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 2, 5, 22
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\Utils\Time.js", "JavaScript", 0, 0, 23, 0, 0, 0, 3, 7, 33
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\World\Chikei.js", "JavaScript", 0, 0, 65, 0, 0, 0, 6, 19, 90
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\World\Environment.js", "JavaScript", 0, 0, 121, 0, 0, 0, 44, 28, 193
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Experience\World\Gamen.js", "JavaScript", 0, 0, 81, 0, 0, 0, 5, 16, 102
